[04-Apr-2016 11:39:37 UTC] PHP Parse error:  syntax error, unexpected ',' in /home/ubuntu/workspace/galerija/slideshow/demo.php on line 76
[04-Apr-2016 11:55:18 UTC] PHP Parse error:  syntax error, unexpected end of file in /home/ubuntu/workspace/galerija/slideshow/demo.php on line 149
[04-Apr-2016 11:55:29 UTC] PHP Parse error:  syntax error, unexpected end of file in /home/ubuntu/workspace/galerija/slideshow/demo.php on line 149
[11-Apr-2016 06:25:25 UTC] PHP Parse error:  syntax error, unexpected ']' in /home/ubuntu/workspace/galerija/slideshow/demo.php on line 84
[11-Apr-2016 06:25:45 UTC] PHP Parse error:  syntax error, unexpected ']' in /home/ubuntu/workspace/galerija/slideshow/demo.php on line 84
[11-Apr-2016 06:30:07 UTC] PHP Parse error:  syntax error, unexpected 'echo' (T_ECHO) in /home/ubuntu/workspace/galerija/slideshow/test.php on line 7
[11-Apr-2016 06:30:09 UTC] PHP Parse error:  syntax error, unexpected 'echo' (T_ECHO) in /home/ubuntu/workspace/galerija/slideshow/test.php on line 7
[11-Apr-2016 06:30:17 UTC] PHP Parse error:  syntax error, unexpected '?>' in /home/ubuntu/workspace/galerija/slideshow/test.php on line 8
[11-Apr-2016 06:30:18 UTC] PHP Parse error:  syntax error, unexpected '?>' in /home/ubuntu/workspace/galerija/slideshow/test.php on line 8
[11-Apr-2016 06:30:18 UTC] PHP Parse error:  syntax error, unexpected '?>' in /home/ubuntu/workspace/galerija/slideshow/test.php on line 8
[11-Apr-2016 06:30:19 UTC] PHP Parse error:  syntax error, unexpected '?>' in /home/ubuntu/workspace/galerija/slideshow/test.php on line 8
[11-Apr-2016 06:38:14 UTC] PHP Fatal error:  Can't use function return value in write context in /home/ubuntu/workspace/galerija/slideshow/test.php on line 14
[11-Apr-2016 06:38:40 UTC] PHP Fatal error:  Can't use function return value in write context in /home/ubuntu/workspace/galerija/slideshow/test.php on line 14
[11-Apr-2016 06:38:40 UTC] PHP Fatal error:  Can't use function return value in write context in /home/ubuntu/workspace/galerija/slideshow/test.php on line 14
[11-Apr-2016 06:38:41 UTC] PHP Fatal error:  Can't use function return value in write context in /home/ubuntu/workspace/galerija/slideshow/test.php on line 14
[11-Apr-2016 06:38:41 UTC] PHP Fatal error:  Can't use function return value in write context in /home/ubuntu/workspace/galerija/slideshow/test.php on line 14
[11-Apr-2016 06:38:41 UTC] PHP Fatal error:  Can't use function return value in write context in /home/ubuntu/workspace/galerija/slideshow/test.php on line 14
[11-Apr-2016 06:38:41 UTC] PHP Fatal error:  Can't use function return value in write context in /home/ubuntu/workspace/galerija/slideshow/test.php on line 14
[11-Apr-2016 06:38:41 UTC] PHP Fatal error:  Can't use function return value in write context in /home/ubuntu/workspace/galerija/slideshow/test.php on line 14
[11-Apr-2016 06:38:41 UTC] PHP Fatal error:  Can't use function return value in write context in /home/ubuntu/workspace/galerija/slideshow/test.php on line 14
[11-Apr-2016 06:38:41 UTC] PHP Fatal error:  Can't use function return value in write context in /home/ubuntu/workspace/galerija/slideshow/test.php on line 14
